"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 4:37:34 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:38:12 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Justo","Faturamento","Não","","Sim","","",""
"2017/09/21 4:40:25 PM GMT-3","Sim","Ocasionalmente","Carro","Pegou o número com alguém","Segurança","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:42:44 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém","Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:43:01 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pegou o número com alguém","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:43:07 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:43:08 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:43:39 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:43:56 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:44:06 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:44:25 PM GMT-3","Sim","Ocasionalmente","Carro","Pesquisei na internet","Preço","Justo","Dinheiro","Sim","Google ","Talvez","","",""
"2017/09/21 4:44:27 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro e cartao, varia bastante um e outro","Não","","Sim","","",""
"2017/09/21 4:44:35 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Agilidade","Abusivo","Cartão Crédito/Débito","Não","","Não","","",""
"2017/09/21 4:45:22 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:45:25 PM GMT-3","Sim","Frequentemente","Motoboy","Fui pessoalmente ao local onde o motorista fica","Não houve critério, peguei o primeiro que consegui","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:45:48 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:45:53 PM GMT-3","Sim","Raramente","Carro","Pegou o número com alguém;O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:45:56 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:45:58 PM GMT-3","Sim","Frequentemente","Carro","O motorista é um conhecido","Segurança","Barato","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:46:11 PM GMT-3","Sim","Ocasionalmente","Carro","Pesquisei na internet","Preço","Abusivo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 4:46:46 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:46:47 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:47:07 PM GMT-3","Sim","Raramente","Carro","O motorista é um conhecido;Contato com Cooperativa(motoboy)","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:47:08 PM GMT-3","Não","","","","","","","","","","","Não confio ou gosto do serviço","Porque todos falam que o produto vem quebrado ou então violado"
"2017/09/21 4:47:12 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança","Justo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 4:47:24 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:47:34 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:47:39 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço","Barato","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:47:41 PM GMT-3","Sim","Frequentemente","Motoboy","Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço;Distância do local onde eu estava","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:48:12 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:48:17 PM GMT-3","Sim","Raramente","Carro","Fui pessoalmente ao local onde o motorista fica","Distância do local onde eu estava","Abusivo","Dinheiro","Sim","Uber","Talvez","","",""
